key,지역,정보공시 학교코드,학교명,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
S010001008-2021,서울특별시 양천구,S010001008,서울강신초등학교,무,무,무,18.700000000000003,1.9604651162790698,0,0,0,1.2627906976744188,12.0,11.0,10.0,8.0,2.0,2.0,2.0,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,미설치,유,시설없음,시설없음
S010001008-2022,서울특별시 양천구,S010001008,서울강신초등학교,무,무,무,18.1,3.0268292682926834,0,0,0,1.3195121951219513,12.0,11.0,8.0,5.0,5.0,2.0,2.0,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,미설치,유,시설없음,시설없음
S010001008-2023,서울특별시 양천구,S010001008,서울강신초등학교,무,무,무,18.200000000000003,3.20077519379845,0,0,0,1.3919896640826874,12.0,11.0,10.0,5.0,5.0,2.0,2.0,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,미설치,유,시설없음,시설없음
S010001008-2024,서울특별시 양천구,S010001008,서울강신초등학교,무,무,무,17.400000000000002,2.9301886792452834,0,0,0,1.7172506738544475,12.0,11.0,8.0,10.0,4.0,2.0,2.0,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,미설치,유,시설없음,시설없음
S010001009-2021,서울특별시 양천구,S010001009,서울강월초등학교,유,유,유,16.8,2.2857923497267763,0,0,0,2.2857923497267763,15.2,12.2,11.9,5.2,7.0,2.1,3.8,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,미설치,미설치,미설치,유,유,유
S010001009-2022,서울특별시 양천구,S010001009,서울강월초등학교,무,무,시설없음,15.4,1.0478672985781992,0,0,0,1.2058451816745657,14.4,13.2,9.3,4.8,6.0,3.3,3.8,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,미설치,미설치,미설치,무,무,무
S010001009-2023,서울특별시 양천구,S010001009,서울강월초등학교,무,무,시설없음,14.6,5.05575221238938,0,0,0,1.3389380530973451,14.0,14.0,10.0,10.0,2.0,4.0,4.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,무,무,무
S010001009-2024,서울특별시 양천구,S010001009,서울강월초등학교,무,무,무,14.0,5.110438413361169,0,0,0,3.0227557411273485,15.0,12.0,8.0,10.0,10.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,유,유,무
S010001010-2021,서울특별시 강서구,S010001010,서울개화초등학교,유,유,유,6.8,12.503100775193799,0,0,0,9.402325581395349,12.0,11.0,8.0,4.0,6.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,유,무,시설없음
S010001010-2022,서울특별시 강서구,S010001010,서울개화초등학교,유,유,유,7.5,10.0009900990099,0,0,0,11.98118811881188,12.0,11.0,8.0,2.0,4.0,1.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,유,무,시설없음
