key,상담실적(내부상담전문가),상담실적(외부상담전문가),교수학습공간 일반교실,교수학습공간 교과교실,교수학습공간 수준별교실,교수학습공간 특별교실,학생자율동아리 동아리수,창의적체험활동동아리 동아리수
S010000431-2023,0.0,0.0,31.0,5.0,1.0,6.0,0.0,49.0
S010000431-2024,0.0,0.0,31.0,5.0,1.0,6.0,0.0,48.0
S010000432-2021,364.0,1.0,42.0,5.0,2.0,12.0,46.0,38.0
S010000432-2022,505.0,3.0,42.0,5.0,2.0,12.0,16.0,39.0
S010000432-2023,532.0,0.0,39.0,2.0,2.0,14.0,0.0,39.0
S010000432-2024,421.0,0.0,39.0,2.0,2.0,14.0,0.0,37.0
S010000433-2021,824.0,0.0,28.0,2.0,5.0,9.0,36.0,54.0
S010000433-2022,486.0,38.0,27.0,0.0,4.0,11.0,13.0,54.0
S010000433-2023,465.0,74.0,27.0,0.0,4.0,11.0,2.0,46.0
S010000433-2024,488.0,6.0,27.0,0.0,4.0,11.0,1.0,45.0
S010000434-2021,344.0,27.0,30.0,14.0,0.0,9.0,32.0,52.0
S010000434-2022,474.0,0.0,30.0,14.0,0.0,9.0,8.0,42.0
S010000434-2023,900.0,0.0,30.0,14.0,0.0,9.0,0.0,38.0
S010000434-2024,807.0,0.0,27.0,14.0,0.0,15.0,0.0,38.0
S010000435-2021,455.0,0.0,48.0,13.0,0.0,10.0,56.0,65.0
S010000435-2022,855.0,0.0,48.0,13.0,0.0,10.0,15.0,80.0
S010000435-2023,906.0,12.0,48.0,5.0,0.0,10.0,2.0,44.0
S010000435-2024,921.0,21.0,48.0,5.0,0.0,10.0,2.0,70.0
S010000436-2021,987.0,19.0,34.0,6.0,0.0,11.0,21.0,30.0
S010000436-2022,512.0,23.0,34.0,6.0,0.0,11.0,3.0,36.0
S010000436-2023,529.0,0.0,34.0,6.0,0.0,11.0,2.0,39.0
S010000436-2024,460.0,0.0,27.0,10.0,1.0,11.0,3.0,38.0
S010000437-2021,130.0,0.0,27.0,5.0,2.0,6.0,41.0,53.0
S010000437-2022,329.0,10.0,27.0,5.0,2.0,10.0,19.0,50.0
S010000437-2023,218.0,0.0,27.0,5.0,2.0,10.0,0.0,50.0
S010000437-2024,389.0,0.0,26.0,5.0,2.0,11.0,0.0,50.0
S010000438-2021,63.0,0.0,35.0,9.0,0.0,2.0,82.0,50.0
S010000438-2022,0.0,0.0,33.0,9.0,0.0,4.0,28.0,57.0
S010000438-2023,448.0,52.0,33.0,9.0,0.0,4.0,0.0,55.0
S010000438-2024,473.0,150.0,31.0,9.0,0.0,5.0,0.0,50.0
S010000439-2021,185.0,0.0,23.0,8.0,0.0,6.0,74.0,34.0
S010000439-2022,478.0,0.0,23.0,8.0,0.0,6.0,35.0,27.0
S010000439-2023,477.0,0.0,23.0,8.0,0.0,6.0,4.0,27.0
S010000439-2024,409.0,0.0,20.0,8.0,0.0,6.0,4.0,27.0
S010000440-2021,501.0,32.0,32.0,5.0,0.0,8.0,12.0,43.0
S010000440-2022,463.0,39.0,33.0,5.0,0.0,8.0,2.0,43.0
S010000440-2023,335.0,8.0,33.0,5.0,0.0,8.0,0.0,45.0
S010000440-2024,376.0,4.0,33.0,5.0,0.0,8.0,0.0,45.0
S010000441-2021,221.0,4.0,52.0,16.0,0.0,7.0,28.0,50.0
S010000441-2022,302.0,12.0,52.0,16.0,0.0,7.0,8.0,49.0
S010000441-2023,292.0,7.0,52.0,16.0,0.0,7.0,13.0,47.0
S010000441-2024,278.0,13.0,52.0,16.0,0.0,7.0,2.0,43.0
S010000442-2021,173.0,45.0,23.0,2.0,0.0,9.0,4.0,28.0
S010000442-2022,158.0,66.0,20.0,2.0,0.0,9.0,4.0,29.0
S010000442-2023,188.0,99.0,20.0,2.0,0.0,9.0,0.0,30.0
S010000442-2024,185.0,141.0,19.0,2.0,0.0,9.0,0.0,32.0
S010000443-2021,441.0,0.0,36.0,0.0,0.0,10.0,33.0,52.0
S010000443-2022,615.0,0.0,37.0,0.0,0.0,9.0,10.0,50.0
S010000443-2023,577.0,0.0,38.0,0.0,0.0,8.0,1.0,52.0
S010000443-2024,566.0,5.0,39.0,0.0,0.0,8.0,2.0,51.0
S010000444-2021,146.0,10.0,27.0,1.0,2.0,7.0,29.0,38.0
S010000444-2022,257.0,19.0,31.0,0.0,0.0,14.0,19.0,40.0
