key,지역,정보공시 학교코드,학교명,교과교실제(지정?운영),자율학교(지정?운영),수준별 수업(운영),전체학생수,연간1인당 보건실이용건수,일반직계,별정직계(2018년이후),기타직계(2019년이후),특수학급 학급당 학생수,순회학급 학급당 학생수,수업교원 1인당 학생수,체육장 개방여부,체육관 개방여부,강당 개방여부,일반교과교실 개방여부,특별교실 개방여부,시청각실 개방여부,수석교사(계),전문상담교사(계),사서교사(계),보건교사(계),영양교사(계),체력 1등급 (%),체력 2등급 (%),체력 3등급 (%),체력 4등급 (%),체력 5등급 (%)
S010002306-2022,서울특별시 강북구,S010002306,서울수송초등학교,0,0,0,676.0,3.3,6.0,0.0,16.0,2.0,0.0,15.2,무,무,시설없음,무,무,무,0.0,2.0,0.0,1.0,2.0,0.024691358024691357,0.2551440329218107,0.49382716049382713,0.18106995884773663,0.04526748971193416
S010002306-2023,서울특별시 강북구,S010002306,서울수송초등학교,0,0,0,639.0,7.6,8.0,0.0,16.0,3.0,0.0,15.1,무,유,시설없음,무,무,무,0.0,1.0,0.0,1.0,1.0,0.06172839506172839,0.3168724279835391,0.4732510288065844,0.14814814814814814,0.0
S010002306-2024,서울특별시 강북구,S010002306,서울수송초등학교,0,0,0,572.0,10.6,6.0,0.0,17.0,4.0,0.0,15.3,무,유,시설없음,무,무,무,0.0,1.0,0.0,1.0,1.0,0.05829596412556054,0.3183856502242152,0.4349775784753363,0.17488789237668162,0.013452914798206279
S010002307-2021,서울특별시 강북구,S010002307,서울수유초등학교,0,0,0,710.0,0.9,5.0,0.0,16.0,6.0,0.0,17.3,유,무,시설없음,유,유,유,0.0,0.0,0.0,1.0,1.0,0.05829596412556054,0.3183856502242152,0.4349775784753363,0.17488789237668162,0.013452914798206279
S010002307-2022,서울특별시 강북구,S010002307,서울수유초등학교,0,0,0,690.0,3.7,5.0,0.0,16.0,5.0,0.0,16.3,유,무,시설없음,유,유,유,0.0,1.0,0.0,1.0,1.0,0.04979253112033195,0.37344398340248963,0.44813278008298757,0.0954356846473029,0.03319502074688797
S010002307-2023,서울특별시 강북구,S010002307,서울수유초등학교,0,0,0,668.0,9.0,5.0,0.0,15.0,4.0,0.0,17.3,유,무,시설없음,유,유,유,0.0,1.0,0.0,1.0,1.0,0.07627118644067797,0.3940677966101695,0.4364406779661017,0.0847457627118644,0.00847457627118644
S010002307-2024,서울특별시 강북구,S010002307,서울수유초등학교,0,0,0,640.0,16.6,6.0,0.0,15.0,5.5,0.0,16.3,유,무,시설없음,유,시설없음,무,0.0,1.0,0.0,1.0,1.0,0.034334763948497854,0.26609442060085836,0.49356223175965663,0.19313304721030042,0.012875536480686695
S010002308-2021,서울특별시 성북구,S010002308,서울숭곡초등학교,0,0,0,491.0,1.0,5.0,0.0,12.0,4.0,0.0,16.8,유,유,시설없음,유,유,시설없음,0.0,1.0,1.0,1.0,1.0,0.034334763948497854,0.26609442060085836,0.49356223175965663,0.19313304721030042,0.012875536480686695
S010002308-2022,서울특별시 성북구,S010002308,서울숭곡초등학교,0,0,0,470.0,4.0,5.0,0.0,12.0,5.5,0.0,19.4,무,무,시설없음,무,유,시설없음,0.0,1.0,2.0,1.0,1.0,0.013888888888888888,0.2708333333333333,0.5069444444444444,0.19444444444444445,0.013888888888888888
S010002308-2023,서울특별시 성북구,S010002308,서울숭곡초등학교,0,0,0,621.0,6.8,5.0,0.0,11.0,6.0,0.0,16.4,유,무,시설없음,무,무,시설없음,0.0,1.0,2.0,1.0,1.0,0.041176470588235294,0.2647058823529412,0.5411764705882353,0.12941176470588237,0.023529411764705882
S010002308-2024,서울특별시 성북구,S010002308,서울숭곡초등학교,0,0,0,672.0,6.5,5.0,0.0,12.0,5.5,0.0,16.1,유,무,시설없음,무,무,시설없음,0.0,1.0,1.0,1.0,1.0,0.005025125628140704,0.25125628140703515,0.542713567839196,0.19095477386934673,0.010050251256281407
S010002309-2021,서울특별시 성북구,S010002309,서울숭덕초등학교,0,0,0,1233.0,0.8,5.0,0.0,23.0,6.0,0.0,18.6,무,유,시설없음,무,무,무,0.0,0.0,0.0,1.0,2.0,0.005025125628140704,0.25125628140703515,0.542713567839196,0.19095477386934673,0.010050251256281407
S010002309-2022,서울특별시 성북구,S010002309,서울숭덕초등학교,0,1,0,1192.0,4.0,5.0,0.0,23.0,5.0,0.0,19.1,무,유,시설없음,무,무,무,0.0,0.0,0.0,1.0,1.0,0.014778325123152709,0.24630541871921183,0.5147783251231527,0.20689655172413793,0.017241379310344827
S010002309-2023,서울특별시 성북구,S010002309,서울숭덕초등학교,0,1,0,1166.0,9.6,5.0,0.0,22.0,6.5,0.0,18.4,무,유,시설없음,무,무,무,0.0,0.0,0.0,2.0,1.0,0.03076923076923077,0.4,0.4641025641025641,0.09743589743589744,0.007692307692307693
S010002309-2024,서울특별시 성북구,S010002309,서울숭덕초등학교,0,0,0,1101.0,9.8,5.0,0.0,22.0,7.0,0.0,16.2,유,유,시설없음,무,무,무,0.0,0.0,0.0,2.0,1.0,0.10485933503836317,0.4578005115089514,0.3375959079283887,0.08695652173913043,0.01278772378516624
S010002310-2021,서울특별시 성북구,S010002310,서울숭례초등학교,0,0,0,762.0,1.1,5.0,0.0,14.0,4.5,0.0,18.2,무,무,시설없음,무,무,무,0.0,0.0,0.0,1.0,1.0,0.10485933503836317,0.4578005115089514,0.3375959079283887,0.08695652173913043,0.01278772378516624
S010002310-2022,서울특별시 성북구,S010002310,서울숭례초등학교,0,0,0,745.0,3.3,5.0,0.0,16.0,5.0,0.0,16.8,무,무,시설없음,무,무,무,0.0,1.0,0.0,1.0,1.0,0.016597510373443983,0.3029045643153527,0.5435684647302904,0.12863070539419086,0.008298755186721992
S010002310-2023,서울특별시 성북구,S010002310,서울숭례초등학교,0,0,0,705.0,5.9,5.0,0.0,16.0,3.3,0.0,15.9,무,무,시설없음,무,무,무,0.0,1.0,0.0,1.0,1.0,0.03153153153153153,0.30180180180180183,0.5405405405405406,0.12162162162162163,0.0045045045045045045
S010002310-2024,서울특별시 성북구,S010002310,서울숭례초등학교,0,0,0,682.0,11.9,5.0,0.0,16.0,2.3,0.0,16.0,무,무,시설없음,무,무,무,0.0,1.0,0.0,1.0,1.0,0.04435483870967742,0.31048387096774194,0.5282258064516129,0.11693548387096774,0.0
